id,title,artist_name,created_at,sketch_type,generated_title,image_url,existing_average_raw_score,new_average_raw_score,average_score_diff,existing_average_curved_score,new_average_curved_score,average_curved_score_diff,existing_proportion_and_structure_score,new_proportion_and_structure_score,proportion_and_structure_score_diff,new_proportion_and_structure_rationale,new_proportion_and_structure_tips,existing_line_quality_score,new_line_quality_score,line_quality_score_diff,new_line_quality_rationale,new_line_quality_tips,existing_form_and_volume_score,new_form_and_volume_score,form_and_volume_score_diff,new_form_and_volume_rationale,new_form_and_volume_tips,existing_mood_and_expression_score,new_mood_and_expression_score,mood_and_expression_score_diff,new_mood_and_expression_rationale,new_mood_and_expression_tips
76021f83-a6bb-47b2-9c00-12621b64490f,Joyful Adventurer,JoeK,2025-04-26T14:28:04.909087+00:00,quick sketch,Rooftop Rascal,https://res.cloudinary.com/djhpg0skf/image/upload/v1745677673/artwork/kmjpidjedkqsoeazm33o.jpg,13.0,11.75,-1.25,5.0,3.75,-1.25,14,12,-2,"The general gesture reads clearly, and the head-to-torso relationship is believable, yet the arms and shoulders feel narrow and the pelvis is unclear, causing some anatomical stiffness. Construction lines are visible but underlying volumes are not fully resolved, so the pose loses solidity in the lower half.","Begin with simple 3-D primitives (boxes, cylinders) for ribcage, pelvis, and limbs before detailing; this keeps widths consistent.; Check key landmarks—acromion to acromion (shoulder width), elbow height, and hip width—against a quick thumbnail or reference.; Use a light gesture pass, then a second pass to ‘lock in’ correct proportions before committing to darker lines.",12,11,-1,"Confident, darker strokes describe the face and hair, but most body lines are tentative and uniform in weight. Occasional scratchy or doubled lines muddy the silhouette.","Vary pressure to create a hierarchy: light for construction, medium for contours, bold accents for overlaps and focal areas.; Practice slow, single-stroke contour drawing to reduce fuzzy repeats and boost confidence.; Employ lost-and-found edges (let some lines fade) to suggest form without outlining everything.",11,10,-1,"The head feels three-dimensional thanks to clear planes, but the torso, backpack and limbs are mostly outlined with little value modeling, so they sit flat on the page. Overlaps hint at depth yet lack supporting shading.","Add simple light logic: pick a light source and shade major planes with two additional values (half-tone and core shadow) to make volumes pop.; Use cross-contour strokes around the arms and torso to reinforce cylindrical form even before full shading.; Observe and sketch from mannequins or 3-D poses to study how hips, ribcage, and shoulders interlock in perspective.",15,14,-1,"The raised eyebrows, open smile, and forward lean project a lively, adventurous attitude that is easy to read. However, the absence of background or lighting keeps the overall atmosphere minimal.","Push the pose further—arch the back or tilt the head more—to amplify the mischievous energy.; Introduce a few environment cues (roof tiles, distant skyline) or a cast shadow to set a clearer scene.; Use strategic highlights in the eyes and hair plus deeper shadows under the chin to dramatize the expression."
c3aa8eb6-5226-4643-96d0-6708e1b1b238,Whispers of Transformation,JoeK,2025-04-26T14:26:55.531721+00:00,quick sketch,Reassuring Embrace,https://res.cloudinary.com/djhpg0skf/image/upload/v1745677603/artwork/ejqgpwpwfdz2oint84ah.jpg,12.75,12.75,0.0,4.75,4.75,0.0,14,14,0,"The gesture between the two characters is clear, and the major landmarks of the heads and shoulders are placed convincingly. Some facial features (Beast’s muzzle length, Belle’s jaw line) feel slightly skewed, and the foreshortening of Belle’s nearer arm is still rough, but the overall construction reads well.","Lightly block in simple 3-D forms (boxes for torsos, cylinders for limbs) before detailing to keep perspective consistent.; Flip the drawing horizontally (physically or digitally) to spot proportion errors, especially in facial symmetry.; Use reference or mirror poses to fine-tune how Belle’s shoulder and upper arm wrap toward the viewer.",12,12,0,"Lines vary between confident sweeps (Beast’s cloak) and scratchy searches (Belle’s hair and lower arm). Weight does change a bit, but could be pushed to signal foreground vs. background and to separate overlapping forms.","Commit to single, purposeful strokes after the initial construction lines—erase or lighten under-drawing so final contours remain clean.; Introduce line-weight hierarchy: thick lines for closest contours, medium for mid-ground, light for interior details.; Practice 1-minute ‘contour only’ studies to build confidence and reduce feathered edges.",10,10,0,"The sketch hints at volume through overlapping shapes, but most surfaces stay flat; there’s no shading and limited cross-contour to sell depth. Beast’s head feels solid, while Belle’s torso and drapery are harder to read spatially.","Add quick tonal blocks or hatching to separate planes—e.g., under Beast’s brow ridge, inside cloak folds, and beneath Belle’s chin.; Use cross-contour lines on Belle’s sleeve and Beast’s muzzle to suggest roundness without full shading.; Study light-side vs. shadow-side by doing small value thumbnails before final lines.",15,15,0,"Despite being an unfinished pencil pass, the piece communicates a gentle, protective atmosphere—Beast’s wide-eyed concern contrasts with Belle’s calm, downward gaze. The tilt of their heads toward each other reinforces intimacy.","Push facial expressions by exaggerating eyebrow angles and mouth curvature to heighten emotion.; Consider adding background or subtle prop elements (a candle, falling rose petals) to support the scene’s narrative mood.; Use selective shading—darker behind Belle’s face, lighter around Beast—to create a soft spotlight that focuses the emotional center."
1ee18c13-2c41-4e85-b306-3e1f0d266304,A Moment of Play,JoeK,2025-04-24T00:00:32.695143+00:00,quick sketch,“Tea-Time Tumbles”,https://res.cloudinary.com/djhpg0skf/image/upload/v1745452815/artwork/e4omopwe9dmpkqfbfzky.jpg,11.75,9.25,-2.5,3.75,1.25,-2.5,12,11,-1,"The main figure’s head-to-torso ratio is believable and the gesture of kneeling/leaning is readable, but the forearms, hand sizes, and the foreshortened leg are inconsistent with one another. The small toy figure above is charming yet its scale and perspective don’t convincingly relate to the larger character or the ground plane.","Before detailing, block in simple boxes/cylinders for each limb to check lengths and angles.; Establish a clear horizon/ground line and draw both figures in the same perspective grid so they share the same space.; Use reference photos of a kneeling pose to fine-tune elbow placement and leg foreshortening.",10,9,-1,"Lines vary slightly in weight but remain mostly timid and repetitive, giving the sketch a tentative feel. Some contour overlaps are unclear, and hatching or bolder accents that could clarify form are missing.","Commit to a single confident stroke after light construction lines; erase the scaffolding to reduce fuzziness.; Introduce deliberate line-weight hierarchy—thicker lines for silhouettes and weight-bearing edges, lighter lines for interior details.; Practice 2-minute continuous-line gesture drawings to build fluidity and control.",11,7,-4,"The drawing relies almost entirely on outlines; without shading or cross-contour, the figure feels flat and the cylindrical volumes of arms and legs are under-defined.","Add simple light-source shading—start with broad shadow masses to turn the limbs and torso.; Use cross-contour curves around arms, legs, and the toy’s body to suggest roundness before full shading.; Study basic forms (spheres, boxes, cylinders) under a lamp and replicate their core shadow patterns in the figure.",14,10,-4,"The tilted head and upward gaze hint at curiosity or gentle interaction with the toy, giving the scene a quiet, playful mood. However, the minimal facial detail and lack of environmental context keep the emotional impact modest.","Emphasize facial expression—slightly larger eyes or a subtle smile/frown can clarify the character’s emotion.; Add a few background props (a rug, wall patterns) or cast shadows to root the scene and reinforce mood.; Experiment with value contrast (darker shadows or a soft vignette) to draw attention to the character-toy interaction."
fad7b800-e81b-4ee9-b34c-6e8f847c298d,Timekeeper of Emotions,JoeK,2025-04-20T22:21:25.908653+00:00,quick sketch,Moment in Her Hand,https://res.cloudinary.com/djhpg0skf/image/upload/v1745187676/artwork/lgkvcfkglf47iuqutrtt.jpg,12.75,9.5,-3.25,4.75,1.5,-3.25,12,10,-2,"The basic gesture reads well and the figure is identifiable, yet the raised arm is slightly short, the hand is under-defined, and the facial features drift off the central axis. The jacket sits convincingly on the torso, but the broken-heart emblem and pocket do not wrap around the form, flattening the design.","Begin with a light stick-figure or mannequin to lock in limb length and shoulder alignment before adding clothing.; Use a center-line on the face and torso to keep eyes, nose, and mouth symmetrically placed while the head turns.; Study foreshortened arms by drawing from photo reference; focus on tapering widths and overlapping shapes to convey depth.",14,9,-5,"Lines alternate between tentative sketchiness and darker outlining, but they rarely vary in weight to suggest depth or texture. Some construction lines remain visible, making the final contours feel fuzzy rather than decisive.","Practice drawing each contour in one or two confident strokes; ghost the motion first, then commit.; Differentiate foreground, mid-ground, and detail lines by pressing harder for closest edges and lighter for receding planes.; After the pencil pass, lightly erase the scaffolding and restate the final contour with a deliberate, continuous line.",10,7,-3,"The figure relies almost entirely on outlines; only the hair has a hint of interior shading, so most shapes remain flat. Without clear light direction or cast shadows, the viewer cannot feel the roundness of the arms or the mass of the jacket.","Choose a single light source and shade planes that turn away from it using a simple five-value scale.; Add cross-contour lines on the sleeve and torso to show how fabric wraps around the body.; Block in large shadow masses first (under the chin, inside the sleeve) before refining small details.",15,12,-3,"The upbeat tilt of the eyebrows and open mouth suggest excitement, and the broken-heart shirt plus clock pendant hint at narrative. However, a neutral background and limited body language keep the emotional impact modest.","Exaggerate facial features—raise eyebrows higher or widen the mouth—to amplify the chosen emotion.; Tilt the torso or shift the hips to give the pose more dynamism and attitude.; Introduce a minimal background prop (e.g., a looming clock face or swirled motion lines) to reinforce the story of time and heartbreak."
b3e1f737-08ee-4e8d-bfa1-8d78e4a700f2,Lost in Thought,JoeK,2025-04-19T17:25:10.340084+00:00,quick sketch,Quiet Moment in the Play Fort,https://res.cloudinary.com/djhpg0skf/image/upload/v1745083500/artwork/oddykh1bclx2iptfmnf7.jpg,14.25,12.0,-2.25,6.25,4.0,-2.25,14,13,-1,"The crouching posture reads clearly and the basic landmarks (head tilt, bent knee, hood drape) are in believable positions, yet the head is slightly large for the torso and the foreshortened lower leg feels compressed. Vertical background elements don’t fully align with the perspective suggested by the floor blocks.","Rough-in a light mannequin first—gesture, rib cage, pelvis, and major joints—then build clothing over it to keep body masses proportional.; Use a simple horizon line and vanishing points to align the floor edge, wall slats, and stacked blocks so the environment supports the figure.; Check head-to-body proportion by measuring: an average child is about 5–6 heads tall; adjust torso length or head size accordingly.",15,11,-4,"Most contours are single weighted lines that communicate shape, but they remain uniform and slightly hesitant. Cross-hatching in the hood adds texture but the mix of light construction lines and darker outlines can appear scratchy.","Commit to deliberate strokes: practice drawing each contour in one clean movement, erasing stray construction lines after solidifying the form.; Introduce line weight variation—thicker lines for foreground edges or areas in shadow, lighter for receding or lit planes—to add depth and hierarchy.; Experiment with tapered lines (press-then-lift) on folds and facial features to suggest softness and direction.",12,10,-2,"The piece hints at volume through overlapping shapes (hood over head, arm over knee), yet shading is minimal and mostly parallel hatch marks, leaving forms feeling relatively flat.","Map simple light and shadow shapes before rendering; decide on a single light source and shade planes that turn away from it.; Use gradated values rather than uniform hatch spacing—darker in core shadows, lighter in halftones—to model the hoodie and facial planes.; Add cast shadows (e.g., under the chin onto the jacket) to anchor the figure and separate limbs.",16,14,-2,"The lowered gaze, slightly parted lips, and enclosing hood create a gentle, introspective mood. Though subtle, these elements give the sketch emotional resonance.","Accentuate eye direction and brow angle with small value changes to clarify the character’s inner state.; Strengthen background context—darker corner, light from one side, or more defined toys—to amplify narrative without overcrowding.; Use selective emphasis: sharpen the face and hands while keeping less important areas softer to draw viewers to the character’s emotion."
fd6e1dbf-7366-48c8-ac4a-e45554ac6738,Whispers of Innocence,JoeK,2025-04-19T11:36:07.587319+00:00,quick sketch,Screen-Glow Giggles,https://res.cloudinary.com/djhpg0skf/image/upload/v1745062558/artwork/aafrzroiapx2bhuvwvsp.jpg,13.0,10.0,-3.0,5.0,2.0,-3.0,12,11,-1,"The head, torso and device are placed believably, and the child’s expression sits in generally correct alignment. However, the shoulders are narrow, the right forearm short, and the hand holding the tablet is compressed, so the underlying anatomy feels tentative.","Begin with a very light, simple mannequin (head-ribcage-pelvis-limbs) to lock in gesture and length before adding details.; Check key measurements—head height vs. shoulder width, elbow to wrist length—by comparing them to the reference or to each other.; Use a mirror or flip the drawing digitally; proportional errors jump out when the image is reversed.",14,9,-5,"Lines are exploratory and uniform in weight, which conveys uncertainty and flattens the image. Some hatch marks start to suggest shadow, but most contours are repeatedly redrawn, blurring clarity.","Commit to a single, confident outer contour after your loose construction pass; erase ghost lines.; Introduce line-weight hierarchy: thicker lines for foreground edges, lighter for interior details and background.; Practice slow, single-stroke contour studies (e.g., draw your hand in 20 continuous lines) to build control.",10,8,-2,"Light cross-hatching on the sleeve and tablet edge hints at depth, yet most forms—especially the face and hands—remain symbol-like and flat. There is little indication of a light source shaping the volumes.","Identify a clear light direction and shade planes that turn away from it, leaving highlights clean.; Start with simple 3-D primitives (cylinders for arms, box for tablet) and shade those before adding detail.; Blend hatching in a single direction that follows the surface curvature to reinforce volume.",16,12,-4,"The wide smile and relaxed posture communicate a pleasant, intimate moment with a device, and the casual pencil texture gives it an informal charm. Background and lighting cues, however, are sparse, so atmosphere feels undeveloped.","Deepen the value range—darker shadows behind or under the figure will make the warm expression pop.; Add small context clues (glow on the face, window light gradient) to enrich the story without clutter.; Experiment with subtle facial line accents (soft cheeks, lighter under-eye lines) to push the emotional nuance."
f603555f-742b-4880-91d2-ef68096a6ecc,Rider in Motion,JoeK,2025-04-19T00:15:18.311736+00:00,quick sketch,“First Ride”,https://res.cloudinary.com/djhpg0skf/image/upload/v1745021708/artwork/mkko8ahmgoenghx4ivux.jpg,12.75,11.0,-1.75,4.75,3.0,-1.75,14,12,-2,"The overall gesture clearly reads as a child pausing on a bicycle, yet limb lengths and the angle of the torso don’t fully align with natural anatomy, and the bicycle’s frame and wheels diverge from consistent perspective.","Lightly block-in basic shapes (ovals for the wheels, boxes/cylinders for limbs) before committing to darker lines to catch proportion errors early.; Establish a single horizon line and vanishing point for the bike so all frame tubes, wheel ellipses, and handlebars follow the same perspective.; Use quick reference measurements—e.g., head-height units—to keep arm, torso, and leg lengths in believable relation.",12,10,-2,"Lines vary between confident strokes and short, sketchy marks; overlaps and restatements create visual noise and flatten forms.","Make a separate, light construction pass, then apply a deliberate, darker contour once decisions are set—this reduces visible searching.; Practice long, shoulder-driven strokes for continuous curves (e.g., wheel rims) rather than short wrist scribbles.; Introduce purposeful line weight: thicker on shadow side or in foreground, thinner on lit or receding edges.",10,9,-1,"The drawing hints at depth (e.g., foreshortened front fork) but lacks consistent shading and overlapping forms to convincingly describe three-dimensional volume.","Add simple value mapping: decide light source direction and shade large planes of the torso, limbs, and bike forms to separate light, mid, and shadow.; Use cross-contour lines or subtle hatching along the curvature of the helmet, pants, and tubes to reveal roundness.; Overlap elements more clearly—show the far leg slightly hidden behind the closer one, and differentiate wheel thickness front vs. back to suggest depth.",15,13,-2,"The slight lean forward and focused head tilt convey concentration, and the safety helmet adds narrative context, yet limited facial detail and tonal range underplay emotional impact.","Strengthen facial landmarks (eyebrow angle, mouth curve) or add a subtle smile/furrow to deepen the character’s emotional state.; Use background or ground shadow to hint at environment—e.g., a faint bike path or sunlight patch—to enhance atmosphere.; Push contrast selectively (darker helmet holes, deeper shadow under arm) to create focal points that guide viewer attention to the child’s experience."
cb901210-173b-4354-9521-356697ce9bbf,Reaching for the Stars,JoeK,2025-04-17T11:15:15.195987+00:00,quick sketch,“Chasing Floating Dreams”,https://res.cloudinary.com/djhpg0skf/image/upload/v1744888503/artwork/bkefq2dkqabn5tfnuxoi.jpg,13.5,10.5,-3.0,5.5,2.5,-3.0,14,11,-3,"The basic gesture of a figure reaching upward is recognizable and readable, yet limb lengths and joint placement feel inconsistent—​the raised arm appears elongated and the hand/palm is undersized relative to the head. The torso is somewhat boxy, and the head–neck connection tilts back convincingly but sits a bit far forward of the spine line.","Begin with a loose stick-figure or mannequin to lock in shoulder, elbow, and wrist alignment before adding contour.; Compare major distances in ‘head-length units’ (e.g., elbow ≈ 2 heads below shoulder) while you draw to catch scale issues early.; Study quick 1-minute gesture poses; they build a memory for natural proportions and weight distribution.",13,10,-3,"Lines vary in darkness but remain mostly short, scratchy, and tentative. Some contours (hair outline, jacket edge) are confidently darker, yet interior details dissolve into repetitive hatching that flattens form.","Use one continuous line for major outer contours; pause, look, then place it decisively to avoid multiple restatements.; Introduce purposeful line-weight: thicker lines on shadowed or foreground edges, lighter lines on illuminated or distant edges.; Practice slow ‘ghosting’ strokes—hover the pencil above the paper following the path, then commit in a single pass.",12,9,-3,"There is a slight suggestion of sleeve roundness and jacket folds through shading, but values are limited to a mid-tone hatch, leaving the figure largely flat. Light direction is unclear, so volumes don’t lock together in three-dimensional space.","Choose a single light source and shade each form (head sphere, cylinder arms) with clear light, mid-tone, and core shadow.; Block in large shadow masses first with side-of-pencil tone, then refine folds; avoid isolated dark patches that break form.; Practice turning simple solids (cubes, cylinders) with gradual tonal transitions before applying to clothed anatomy.",15,12,-3,"The upward reach and scattered circles imply playful curiosity, and the face angled skyward adds a gentle sense of wonder. However, empty negative space and minimal facial detail limit emotional depth and narrative context.","Accentuate the gesture—push the spine arc and fingertip stretch to heighten anticipation and energy.; Add environmental hints (subtle background gradient, distant bubbles, or light source glow) to reinforce atmosphere.; Define facial features with a few selective, confident strokes (eyebrow angle, slight mouth curve) to amplify expression without over-rendering."
be076aa2-e223-42da-8e71-0280fe3eeb24,Frozen Friends: A Charming Sketch,JoeK,2025-04-17T01:42:14.104131+00:00,quick sketch,“Post-it Blizzard Buddies”,https://res.cloudinary.com/djhpg0skf/image/upload/v1744854124/artwork/ifk7l2elyirvha7azumf.jpg,12.75,12.25,-0.5,4.75,4.25,-0.5,12,14,2,"Both characters are instantly recognizable and their overall shapes (Anna’s head-to-shoulder taper, Olaf’s bulbous head and stick arms) sit convincingly together. Minor misalignments—such as Anna’s right eye drifting inward and Olaf’s left stick arm attaching a bit high—slightly disturb the internal symmetry.","Lightly block in simple shapes (ovals, centerlines, eyeline) before committing to details so features land more precisely.; Check negative space between the two characters in a mirror or by flipping the page to catch proportion slips.; Use a plumb-line or pencil-measuring technique to keep facial landmarks level.",14,12,-2,"Lines are clean enough to read but remain mostly uniform in weight; some construction strokes are still visible, giving the drawing a tentative feel.","Vary pressure: heavier lines for foreground contours (Anna’s chin, Olaf’s cheeks) and lighter strokes for internal detail add clarity and depth.; Commit to single confident strokes by practicing gesture drawings with timed poses.; Erase or deliberately integrate construction lines to avoid visual clutter.",10,10,0,"Basic overlaps (braids over cape, Olaf’s carrot nose in front of his face) suggest depth, yet the absence of tonal modeling leaves the forms mostly flat.","Introduce simple, broad shading to indicate the light source—e.g., shadow under Olaf’s nose and on the left side of Anna’s face.; Use cross-contour hatching along the braids and Olaf’s head to reinforce curvature.; Reserve the darkest darks for interior cavities (Olaf’s mouth, braid recesses) to push contrast and volume.",15,13,-2,"The open-mouthed grin and soft smile naturally convey a friendly, upbeat mood, but the blank background and limited value range keep the emotional punch modest.",Add a subtle background cue—snow flurries or soft value gradient—to situate the scene and amplify the ‘chilly cheer’.; Deepen eye shadows and highlights to make the expressions pop without changing the line art.; Experiment with slight head tilts or body angles to enhance character interaction and liveliness.
a4c04757-a08a-4418-b17b-3955b881c208,Frozen Friends,Joel,2025-04-17T01:16:36.446926+00:00,quick sketch,Warm Hugs on a Sticky Note,https://res.cloudinary.com/djhpg0skf/image/upload/v1744852587/artwork/uhvluqwehvmbu066nty7.jpg,14.25,12.5,-1.75,6.25,4.5,-1.75,15,13,-2,"The overall likeness of the characters is clear and the facial features line up reasonably well, but Olaf’s head feels slightly oversized compared with the girl’s and some facial planes (eyes to nose, jawline) sit a bit flat because construction lines weren’t fully resolved.","Lightly block in basic shapes (spheres, boxes) for each head before refining to keep scale relationships consistent.; Use a center-line and eye-line on each face to check tilt and symmetry early on.; Compare negative space (e.g., gap between Olaf’s cheek and the braid) to catch proportional slips.",14,12,-2,"Lines vary between confident single strokes (in the braids and mouth) and hesitant, repeated scratches, making the drawing look a little fuzzy in places.","Commit to a single, deliberate stroke after light construction—erase the scaffolding instead of tracing over it multiple times.; Introduce line-weight hierarchy: thicker for foreground or shadow edges, thinner for light-side or internal details.; Practice slow, shoulder-driven arm motions on scrap paper to build smoother curves before moving to the final page.",12,10,-2,"The faces read mostly as flat outlines; only the irises have tonal variation. Without consistent light/shadow, the heads and braids don’t fully pop into 3-D space.","Choose a light source and add simple value blocks (light, mid, shadow) on cheeks, under the nose, and inside Olaf’s mouth.; Use cross-contour shading in the braids and carrot nose to suggest rounded volumes.; Reserve the brightest paper tone for light planes and deepen core shadows to create contrast.",16,15,-1,"The cheerful open-mouthed grin and gentle smile instantly evoke a friendly, upbeat mood even with minimal detail.","Push facial expressions slightly more—lift Olaf’s brows or tilt the girl’s head for extra warmth.; Add a simple tonal or line background (snow flurries, sparkles) to reinforce the lighthearted atmosphere.; Vary the tilt of the bodies or incorporate hand gestures to give the scene more energy."
